file_name,n_tokens
mm2src/mm2_bin_lib/src/mm2_wasm_lib.rs,2649
mm2src/mm2_bitcoin/chain/Cargo.toml,138
mm2src/mm2_bitcoin/chain/README.md,4220
mm2src/mm2_bitcoin/chain/src/block.rs,1162
mm2src/mm2_bitcoin/chain/src/block_header.rs,183769
mm2src/mm2_bitcoin/chain/src/constants.rs,305
mm2src/mm2_bitcoin/chain/src/for_tests/biggest_btc_tx_hex,1087396
mm2src/mm2_bitcoin/chain/src/for_tests/firo_06ed4b75010edcf404a315be70903473f44050c978bc37fbcee90e0b49114ba8,27336
mm2src/mm2_bitcoin/chain/src/for_tests/nmc_block_headers_hex,10748
mm2src/mm2_bitcoin/chain/src/lib.rs,274
mm2src/mm2_bitcoin/chain/src/merkle_root.rs,720
mm2src/mm2_bitcoin/chain/src/raw_block.rs,2449
mm2src/mm2_bitcoin/chain/src/read_and_hash.rs,274
mm2src/mm2_bitcoin/chain/src/transaction.rs,39849
mm2src/mm2_bitcoin/crypto/Cargo.toml,140
mm2src/mm2_bitcoin/crypto/src/lib.rs,1663
mm2src/mm2_bitcoin/keys/Cargo.toml,186
mm2src/mm2_bitcoin/keys/src/address.rs,5801
mm2src/mm2_bitcoin/keys/src/cashaddress.rs,6248
mm2src/mm2_bitcoin/keys/src/display.rs,79
mm2src/mm2_bitcoin/keys/src/error.rs,342
mm2src/mm2_bitcoin/keys/src/keypair.rs,2262
mm2src/mm2_bitcoin/keys/src/lib.rs,853
mm2src/mm2_bitcoin/keys/src/network.rs,37
mm2src/mm2_bitcoin/keys/src/private.rs,2469
mm2src/mm2_bitcoin/keys/src/public.rs,1061
mm2src/mm2_bitcoin/keys/src/segwitaddress.rs,4196
mm2src/mm2_bitcoin/keys/src/signature.rs,767
mm2src/mm2_bitcoin/primitives/Cargo.toml,93
mm2src/mm2_bitcoin/primitives/src/bytes.rs,1110
mm2src/mm2_bitcoin/primitives/src/compact.rs,1330
mm2src/mm2_bitcoin/primitives/src/hash.rs,1518
mm2src/mm2_bitcoin/primitives/src/lib.rs,94
mm2src/mm2_bitcoin/rpc/Cargo.toml,175
mm2src/mm2_bitcoin/rpc/src/for_tests/txTestVectors.json,51961
mm2src/mm2_bitcoin/rpc/src/lib.rs,91
mm2src/mm2_bitcoin/rpc/src/v1/mod.rs,13
mm2src/mm2_bitcoin/rpc/src/v1/types/address.rs,1259
mm2src/mm2_bitcoin/rpc/src/v1/types/block.rs,24
mm2src/mm2_bitcoin/rpc/src/v1/types/block_template_request.rs,902
